payment_id,creator_id,payment_date,amount_paid,payment_status,provider_reference
PAY-001,CR-A,2025-07-01,26.40,PAID,DEMO-REF-001
PAY-002,CR-B,2025-07-01,22.82,PAID,DEMO-REF-002
PAY-003,CR-C,2025-07-01,43.40,PAID,DEMO-REF-003
PAY-004,CR-D,2025-07-01,9.90,FAILED,
PAY-005,CR-E,2025-07-01,67.50,PAID,DEMO-REF-005
PAY-006,CR-F,2025-08-01,61.01,PAID,DEMO-REF-006
PAY-007,CR-G,2025-08-01,43.27,PENDING,
PAY-008,CR-H,2025-08-01,74.76,PAID,DEMO-REF-008
PAY-009,CR-A,2025-09-01,141.60,PAID,DEMO-EXACTPAY-009
PAY-010,CR-B,2025-09-01,130.00,PAID,DEMO-OVERPAY-010
