order_id,creator_id,creator_username,order_date,gross_sales,actual_commission,refund_amount,settlement_status
ORD-001,CR-A,creator_a,2025-06-03,220.00,44.00,0.00,SETTLED
ORD-002,CR-B,creator_b,2025-06-05,175.50,35.10,0.00,SETTLED
ORD-003,CR-C,creator_c,2025-06-07,310.00,62.00,0.00,SETTLED
ORD-004,CR-D,creator_d,2025-06-10,89.99,18.00,0.00,SETTLED
ORD-005,CR-E,creator_e,2025-06-12,450.00,90.00,0.00,SETTLED
ORD-006,CR-F,creator_f,2025-06-14,132.00,26.40,0.00,SETTLED
ORD-007,CR-G,creator_g,2025-06-17,275.00,55.00,0.00,SETTLED
ORD-008,CR-H,creator_h,2025-06-20,190.00,38.00,0.00,SETTLED
ORD-009,CR-A,creator_a,2025-07-02,340.00,68.00,0.00,SETTLED
ORD-010,CR-B,creator_b,2025-07-04,112.50,22.50,0.00,SETTLED
ORD-011,CR-C,creator_c,2025-07-06,520.00,104.00,0.00,SETTLED
ORD-012,CR-D,creator_d,2025-07-09,205.00,41.00,0.00,SETTLED
ORD-013,CR-E,creator_e,2025-07-11,155.00,31.00,0.00,SETTLED
ORD-014,CR-F,creator_f,2025-07-13,360.00,72.00,0.00,SETTLED
ORD-015,CR-G,creator_g,2025-07-16,98.00,19.60,0.00,SETTLED
ORD-016,CR-H,creator_h,2025-07-18,410.00,82.00,0.00,SETTLED
ORD-017,CR-A,creator_a,2025-08-01,280.00,56.00,0.00,SETTLED
ORD-018,CR-B,creator_b,2025-08-03,625.00,125.00,0.00,SETTLED
ORD-019,CR-C,creator_c,2025-08-05,145.00,29.00,0.00,SETTLED
ORD-020,CR-D,creator_d,2025-08-08,238.00,47.60,0.00,SETTLED
ORD-021,CR-E,creator_e,2025-08-10,390.00,78.00,0.00,SETTLED
ORD-022,CR-F,creator_f,2025-08-12,168.00,33.60,0.00,SETTLED
ORD-023,CR-G,creator_g,2025-08-14,295.00,59.00,0.00,SETTLED
ORD-024,CR-H,creator_h,2025-08-16,505.00,101.00,0.00,SETTLED
ORD-025,CR-A,creator_a,2025-09-02,180.00,36.00,0.00,PENDING
ORD-026,CR-B,creator_b,2025-09-04,260.00,52.00,0.00,PENDING
ORD-027,CR-C,creator_c,2025-09-06,330.00,66.00,0.00,SETTLED
ORD-028,CR-D,creator_d,2025-09-08,75.00,15.00,0.00,CANCELLED
ORD-029,CR-E,creator_e,2025-09-10,215.00,43.00,43.00,REFUNDED
ORD-030,CR-F,creator_f,2025-09-12,480.00,96.00,0.00,SETTLED
ORD-031,CR-G,creator_g,2025-09-14,125.00,25.00,0.00,SETTLED
ORD-032,CR-H,creator_h,2025-09-16,350.00,70.00,0.00,SETTLED
ORD-033,CR-NO-AGREEMENT,creator_i,2025-09-18,240.00,48.00,0.00,SETTLED
ORD-034,CR-A,creator_a,2025-09-20,560.00,112.00,0.00,SETTLED
ORD-035,CR-B,creator_b,2025-09-22,199.95,39.99,0.00,SETTLED
ORD-036,CR-C,creator_c,2025-09-24,420.00,84.00,0.00,PENDING
ORD-037,CR-D,creator_d,2025-09-26,310.00,62.00,0.00,SETTLED
ORD-038,CR-E,creator_e,2025-09-28,270.00,54.00,0.00,SETTLED
ORD-039,CR-F,creator_f,2025-09-29,150.00,30.00,0.00,SETTLED
ORD-039,CR-F,creator_f,2025-09-29,150.00,30.00,0.00,SETTLED
